Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
6.03593386920929e-08,0.041572359999999996,7.66566915401346e-07,1.3922464582798726e-11,3.4662452388973004e-07,1.5766605813221903e-55,2.070359242300475e-07,0.938,6.988148551676277e-27,0.0032592315692374437,1.8275573062062037e-13,6.768261322749741e-09,5.191717240677179e-05,0.0,0.0,0.021288866334723832,0.008370242633469858,0.04999992977103764,7.425804174965311e-25,3.076707652587218e-48,0.0019473162465726086,3.2965825357973687e-56
6.060000777489578e-08,0.041572359999999996,7.690903403003009e-07,1.4009792201877584e-11,3.4781708665063604e-07,1.6266074611684535e-55,2.061295098029011e-07,0.938,7.111843027460286e-27,0.0032695611262054864,1.8473074756933564e-13,6.797801411749307e-09,5.1891963441043255e-05,0.0,0.0,0.021278559147518892,0.008365076990095836,0.049999930278714785,7.61181060270379e-25,3.143043799575277e-48,0.0019473389320241359,3.4135918583765677e-56
6.084067685769866e-08,0.041572359999999996,7.716187859753317e-07,1.4097527144379485e-11,3.4900832262452705e-07,1.6779505323091626e-55,2.0522834711702973e-07,0.938,7.237267600398027e-27,0.003279874320645248,1.8672125054975585e-13,6.827262776910957e-09,5.186679060901243e-05,0.0,0.0,0.02126826827784111,0.008359919528063165,0.04999993078764304,7.80185305583877e-25,3.2105519850035786e-48,0.001947361576320766,3.5343011712418606e-56
6.108134594050155e-08,0.041572359999999996,7.7415215974007e-07,1.4185671077794367e-11,3.501982336020513e-07,1.73072391020967e-55,2.0433242663935653e-07,0.938,7.36444060026273e-27,0.0032901711956172973,1.8872733033784442e-13,6.85664404139078e-09,5.184165400884067e-05,0.0,0.0,0.021257993682633557,0.008354770225862687,0.0499999312977797,7.996006978596454e-25,3.279248574485421e-48,0.001947384179457023,3.658813724067583e-56
6.132201502330443e-08,0.041572359999999996,7.76690369102395e-07,1.4274225658533069e-11,3.513868213700754e-07,1.784962433042621e-55,2.034417382088814e-07,0.938,7.49338049915511e-27,0.0033004517940235178,1.9074907812158447e-13,6.8859438476126e-09,5.181655373103219e-05,0.0,0.0,0.021247735319006058,0.008349629062064382,0.049999931809082514,8.194349031371481e-25,3.349150106778556e-48,0.0019474067414348927,3.787235285374986e-56
6.156268410610731e-08,0.041572359999999996,7.79233321781358e-07,1.436319253184107e-11,3.525740877116969e-07,1.8407016748809422e-55,2.0255627105119182e-07,0.938,7.624105912306541e-27,0.003310716158607865,1.9278658550017516e-13,6.915160857583622e-09,5.179148985873261e-05,0.0,0.0,0.021237493144234135,0.008344496015316987,0.04999993232150961,8.396957107709164e-25,3.420273295128207e-48,0.001947429262263509,3.91967419581499e-56
6.18033531889102e-08,0.041572359999999996,7.817809257238509e-07,1.4452573331714896e-11,3.5376003440625784e-07,1.8979779590968635e-55,2.0167601379291626e-07,0.938,7.756635598884097e-27,0.0033209643319571155,1.9483994448320067e-13,6.944293753195343e-09,5.1766462468016294e-05,0.0,0.0,0.021227267115757887,0.008339371064347605,0.04999993283501953,8.603910351489461e-25,3.49263502861765e-48,0.0019474517419588487,4.056241422422346e-56
6.204402227171308e-08,0.041572359999999996,7.843330891210063e-07,1.4542369680821154e-11,3.549446632293566e-07,1.9568283719696727e-55,2.0080095447611533e-07,0.938,7.890988462797363e-27,0.0033311963565016115,1.9690924748976997e-13,6.973341236509731e-09,5.174147162816296e-05,0.0,0.0,0.021217057191181003,0.00833425418796136,0.04999993334957122,8.815289174314474e-25,3.5662523735263914e-48,0.0019474741805434392,4.19705061385635e-56
6.228469135451596e-08,0.041572359999999996,7.868897204243286e-07,1.4632583190418244e-11,3.561279759528611e-07,2.0172907765049035e-55,1.9993108057260191e-07,0.938,8.027183553507004e-27,0.0033414122745160017,1.9899458734762955e-13,7.0023020300306845e-09,5.171651740192387e-05,0.0,0.0,0.02120686332826963,0.008329145365040994,0.049999933865124045,9.031175273101307e-25,3.641142574695925e-48,0.0019474965780460758,4.342218156643477e-56
6.252536043731884e-08,0.041572359999999996,7.89450728361547e-07,1.472321546028069e-11,3.573099743449214e-07,2.0794038264676804e-55,1.990663789981853e-07,0.938,8.16524006683502e-27,0.00335161212811998,2.0109605729224865e-13,7.031174876960793e-09,5.169159984577805e-05,0.0,0.0,0.021196685484951468,0.008324044574546524,0.049999934381637766,9.251651647882145e-25,3.717323056903133e-48,0.0019475189345015504,4.491863232437462e-56
