Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20)
1.1719256824775704e-09,0.03159427132446203,4.721626313168026e-07,0.938,0.0,0.0,0.02119218617569858,0.009996503060747938,0.04998928215819138,6.483973548708232e-64,4.2753799196372134e-73,0.0019988109564413607,1.4261144007054062e-88,2.830937076364553e-89,1.0488759159591426e-05,4.879196353657875e-44,7.203484459739244e-06,9.081799652825831e-27,1.9476693464568598e-08,1.1555695317461927e-06,3.347402689304782e-08,1.365579882835008e-18,2.8826013841828155e-86,3.69466108562033e-62,9.59717369865372e-50,1.0844765839326659e-16
1.1782074365279083e-09,0.03159427132446203,4.746238182191082e-07,0.938,0.0,0.0,0.02119211989084602,0.009996484334170051,0.04998926215599021,6.766367136316224e-64,4.3781552269203347e-73,0.001998804588132647,1.4789679903511618e-88,2.8989773953592002e-89,1.05075942752351e-05,4.971552645909769e-44,7.24215459907932e-06,9.23129159267759e-27,1.9426795423701094e-08,1.161860722646e-06,3.355114470665519e-08,1.3767198380655932e-18,2.9878921254978365e-86,3.7581894841850126e-62,9.96430651806201e-50,1.1017540416600025e-16
1.1844891905782462e-09,0.03159427132446203,4.770844549158414e-07,0.938,0.0,0.0,0.021192053797083086,0.009996465607744219,0.04998924234397637,7.059536384117891e-64,4.482691516859217e-73,0.001998798219871915,1.5333977385887353e-88,2.9681830925246137e-89,1.0526239582284491e-05,5.065095934891074e-44,7.2808239702812795e-06,9.382544881351958e-27,1.9376982682522777e-08,1.1681515730223958e-06,3.36285550627378e-08,1.3879109445206216e-18,3.0962742812882415e-86,3.8223401590522685e-62,1.034359678975283e-49,1.1192115774040015e-16
1.190770944628584e-09,0.03159427132446203,4.79544545027053e-07,0.938,0.0,0.0,0.021191987892492135,0.00999644688147011,0.04998922272023657,7.363837286930042e-64,4.589005972295043e-73,0.0019987918516590946,1.589438724455383e-88,3.0385655263741653e-89,1.0544696990687819e-05,5.15983433581841e-44,7.319492575786357e-06,9.535573931033296e-27,1.932725679464814e-08,1.1744420844117117e-06,3.3706256493681076e-08,1.399153513217686e-18,3.2078154837936103e-86,3.8871137677024676e-62,1.073538903582356e-49,1.136850084100201e-16
1.197052698678922e-09,0.03159427132446203,4.820040921538024e-07,0.938,0.0,0.0,0.021191922175174804,0.009996428155347388,0.049989203282876794,7.679635906507691e-64,4.697115794161855e-73,0.0019987854834941183,1.6471265230889323e-88,3.110136067102344e-89,1.056296839117448e-05,5.255775977536649e-44,7.3581604180340654e-06,9.690393248556107e-27,1.927761928496723e-08,1.1807322583499342e-06,3.3784247531527424e-08,1.4104478555295843e-18,3.322584303309533e-86,3.952510948992192e-62,1.1140036065019237e-49,1.1546704543245295e-16
1.2033344527292599e-09,0.03159427132446203,4.844630998780704e-07,0.938,0.0,0.0,0.021191856643251815,0.009996409429375719,0.04998918403002206,8.007308613241228e-64,4.8070382009837404e-73,0.0019987791153769185,1.7064972083485402e-88,3.182906096250779e-89,1.0581055655448438e-05,5.352929002810236e-44,7.396827499462085e-06,9.84701743593264e-27,1.922807164983173e-08,1.1870220963726218e-06,3.3862526708069044e-08,1.4217942831801292e-18,3.440650253095473e-86,4.0185323238576886e-62,1.1557899141896562e-49,1.1726735802975068e-16
1.2096162067795978e-09,0.03159427132446203,4.8692157176268e-07,0.938,0.0,0.0,0.02119179129486276,0.009996390703554781,0.04998916495981624,8.347242332780457e-64,4.918790428391343e-73,0.0019987727473074297,1.7675873554403554e-88,3.256887006387063e-89,1.0598960636379684e-05,5.451301568617358e-44,7.43549382250615e-06,1.0005461190880727e-26,1.9178615357244052e-08,1.1933116000148176e-06,3.394109255494052e-08,1.4331931082399387e-18,3.562083794298835e-86,4.085178496012972e-62,1.1989348158955438e-49,1.1908603538883945e-16
1.2158979608299357e-09,0.03159427132446203,4.893795113512184e-07,0.938,0.0,0.0,0.021191726128165927,0.009996371977884244,0.04998914607042192,8.699834797671885e-64,5.032389728657522e-73,0.001998766379285584,1.8304340435497975e-88,3.332090200796284e-89,1.0616685168193725e-05,5.550901846446827e-44,7.474159389599938e-06,1.0165739307351803e-26,1.9129251847049662e-08,1.1996007708109637e-06,3.401994360371114e-08,1.4446446431222011e-18,3.686956340898522e-86,4.152450052642382e-62,1.2434761811783791e-49,1.2092316666193093e-16
1.2221797148802736e-09,0.03159427132446203,4.91836922167966e-07,0.938,0.0,0.0,0.02119166114133812,0.009996353252363798,0.04998912736002009,9.065494804096903e-64,5.1478533702520274e-73,0.0019987600113113182,1.8950748584821938e-88,3.4085270931851724e-89,1.0634231066659217e-05,5.651738022597615e-44,7.512824203174948e-06,1.0327866676059125e-26,1.907998253113222e-08,1.2058896102948161e-06,3.4099078385976825e-08,1.4561492005784177e-18,3.815340264671207e-86,4.220347565087361e-62,1.2894527777261638e-49,1.2277884096692831e-16
1.2284614689306114e-09,0.03159427132446203,4.942938077178284e-07,0.938,0.0,0.0,0.021191596332574454,0.009996334526993117,0.0499891088268101,9.444642473799817e-64,5.265198637415e-73,0.0019987536433845664,1.9615478953135022e-88,3.486209107398728e-89,1.0651600129273677e-05,5.753818298480899e-44,7.5514882656603966e-06,1.0491858285006162e-26,1.903080879361183e-08,1.2121781199993614e-06,3.417849543345204e-08,1.4677070936941296e-18,3.94730890018363e-86,4.288871589527301e-62,1.3369042894871195e-49,1.2465314738782855e-16
