Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38),N2X(46)
2.1462127813755712e-10,0.05842168493353951,3.899981274680928e-07,0.938,0.0,0.0,0.03921900753803764,0.00999912820945168,0.04999863686272473,2.7973471216970444e-37,4.174467947420141e-44,0.0019997283882593414,1.309436659762968e-54,9.120328320555678e-53,1.1528192976447122e-06,3.4355098515920416e-29,1.8706235831679165e-06,1.582148801529948e-17,8.327549116049434e-08,2.189739670704261e-07,5.2637676083036334e-08,9.749088473969931e-14,5.296616219178463e-56,1.1572210221085297e-39,7.820635001640678e-32,9.699397545162663e-14,6.934245548239929e-15,1.1386727944936055e-35
2.1541484631817753e-10,0.05842168493353951,3.916343454892782e-07,0.938,0.0,0.0,0.03921899763303911,0.009999124986376517,0.04999863595734954,2.882576182095641e-37,4.2686486033681144e-44,0.001999727471004391,1.355319253061763e-54,9.335896050180142e-53,1.1529615580597005e-06,3.4828557776930663e-29,1.8777711838540777e-06,1.5998572264068826e-17,8.333715556984445e-08,2.197195673486505e-07,5.280933003032019e-08,9.821529718430726e-14,5.460582285963638e-56,1.1793898438147466e-39,8.026328683969243e-32,9.818032680441112e-14,6.998609435623701e-15,1.1703183767030695e-35
2.1620841449879795e-10,0.05842168493353951,3.932709308259787e-07,0.938,0.0,0.0,0.039218987731018895,0.009999121763304019,0.0499986350547073,2.9700725706682914e-37,4.364549809896156e-44,0.001999726554356817,1.4026075320756234e-54,9.55558367811888e-53,1.1531012038530925e-06,3.5306352561245883e-29,1.8849194265439268e-06,1.6176973194236117e-17,8.339805432208056e-08,2.2046472193517478e-07,5.2980822291374105e-08,9.894235677898787e-14,5.628896560167288e-56,1.2018785450167741e-39,8.23664375660001e-32,9.937663632846883e-14,7.063283682456245e-15,1.2027177609355233e-35
2.1700198267941836e-10,0.05842168493353951,3.949078774775109e-07,0.938,0.0,0.0,0.039218977831934655,0.009999118540234189,0.049998634154750005,3.0598878854163745e-37,4.462195259129365e-44,0.0019997256383162557,1.4513382820336847e-54,9.77945049893768e-53,1.1532382829762463e-06,3.578850030978716e-29,1.8920683048853155e-06,1.635669564507443e-17,8.345819382160149e-08,2.2120943089022613e-07,5.315215316745796e-08,9.96720629115329e-14,5.801654689175466e-56,1.224690109706384e-39,8.451666427031729e-32,1.0058294786897234e-13,7.128268085465163e-15,1.2358859138419248e-35
2.1779555086003878e-10,0.05842168493353951,3.9654517949503636e-07,0.938,0.0,0.0,0.03921896793574485,0.009999115317167021,0.049998633257430515,3.1520747009296477e-37,4.561608853696499e-44,0.001999724722882347,1.5015490827948373e-54,1.0007556358628781e-52,1.153372842501116e-06,3.6275018409269864e-29,1.8992178125761889e-06,1.6537744455018222e-17,8.351758042390735e-08,2.2195369427346163e-07,5.332332296035348e-08,1.0040441496910274e-13,5.9789539793711825e-56,1.24782753178258e-39,8.671484183501486e-32,1.0179930526198912e-13,7.193562438159396e-15,1.269838039855447e-35
2.185891190406592e-10,0.05842168493353951,3.9818283098115705e-07,0.938,0.0,0.0,0.03921895804240874,0.009999112094102522,0.049998632362702584,3.2466865831377984e-37,4.66281470737715e-44,0.001999723808054729,1.5532783222595765e-54,1.023996165643066e-52,1.1535049286363758e-06,3.676592419231575e-29,1.9063679433642292e-06,1.6720124461662043e-17,8.357622043594496e-08,2.2269751214399275e-07,5.3494331972340194e-08,1.0113941233825226e-13,6.160893416847685e-56,1.2712938149739188e-39,8.896185809157234e-32,1.0302575233419802e-13,7.259166530877654e-15,1.3045895840220494e-35
2.193826872212796e-10,0.05842168493353951,3.998208260895145e-07,0.938,0.0,0.0,0.03921894815188642,0.009999108871040687,0.04999863147052078,3.3437781042284003e-37,4.7658371457437e-44,0.0019997228938330412,1.6065652099413617e-54,1.0476727346633435e-52,1.1536345867432557e-06,3.726123493757095e-29,1.913518691046492e-06,1.6903840501759444e-17,8.363412011645064e-08,2.2344088456040968e-07,5.3665180506171764e-08,1.0187705440495635e-13,6.347573688272427e-56,1.2950919727611204e-39,9.125861396333269e-32,1.0426233290260903e-13,7.325080150836408e-15,1.3401562348533658e-35
2.2017625540190002e-10,0.05842168493353951,4.0145915902439134e-07,0.938,0.0,0.0,0.0392189382641387,0.009999105647981517,0.04999863058084053,3.4434048577325157e-37,4.870700706798102e-44,0.001999721980216922,1.6614497906985068e-54,1.0717914940370017e-52,1.1537618613510817e-06,3.776096786982926e-29,1.920670049469052e-06,1.7088897411221768e-17,8.369128567629122e-08,2.241838115808049e-07,5.3835868865052565e-08,1.0261734055463512e-13,6.539097201901928e-56,1.3192250282999729e-39,9.360602360929009e-32,1.0550909077428703e-13,7.391303082177464e-15,1.3765539272019604e-35
2.2096982358252043e-10,0.05842168493353951,4.03097824040316e-07,0.938,0.0,0.0,0.03921892837912722,0.009999102424925011,0.04999862969361807,3.5456234737791945e-37,4.977430141603454e-44,0.0019997210672060084,1.717972958627623e-54,1.0963586507393104e-52,1.1538867961725326e-06,3.826514016016116e-29,1.9278220125266425e-06,1.7275300025117106e-17,8.374772327880269e-08,2.249262932627969e-07,5.4006397352614666e-08,1.0336027017217868e-13,6.735568108747792e-56,1.3436960143445385e-39,9.600501456891497e-32,1.0676606974607913e-13,7.457835106015046e-15,1.4137988451590723e-35
2.2176339176314085e-10,0.05842168493353951,4.0473681544166976e-07,0.938,0.0,0.0,0.039218918496814345,0.009999099201871166,0.04999862880881041,3.6504916345201026e-37,5.086050414910447e-44,0.0019997201547999424,1.7761764711196434e-54,1.1213804677837982e-52,1.1540094341186166e-06,3.8773768926048025e-29,1.9349745741623067e-06,1.7463053177669257e-17,8.380343904012659e-08,2.256683296635529e-07,5.41767662728952e-08,1.0410584264197148e-13,6.937092323894026e-56,1.3685079731706731e-39,9.84565279080186e-32,1.0803331360434574e-13,7.524676000482494e-15,1.4519074249748973e-35
2.2255695994376126e-10,0.05842168493353951,4.063761275822974e-07,0.938,0.0,0.0,0.039218908617163165,0.009999095978819986,0.04999862792637537,3.7580680897255394e-37,5.196586705778688e-44,0.0019997192429983598,1.8361029630794475e-54,1.1468632643971238e-52,1.1541298173133752e-06,3.9286871231521704e-29,1.9421277283670467e-06,1.765216170225671e-17,8.38584390295443e-08,2.2640992083981197e-07,5.434697593031395e-08,1.0485405734791656e-13,7.143777547965927e-56,1.3936639564998614e-39,1.00961518365662e-31,1.0931086612469507e-13,7.591825540778511e-15,1.4908963580015214e-35
2.2335052812438168e-10,0.05842168493353951,4.0801575486512014e-07,0.938,0.0,0.0,0.0392188987401375,0.009999092755771469,0.04999862704627157,3.868412672553088e-37,5.309064408192904e-44,0.001999718331800901,1.8977959613101112e-54,1.1728134161925483e-52,1.1542479871083141e-06,3.980446408730901e-29,1.9492814691794733e-06,1.7842630431411696e-17,8.391272926980916e-08,2.2715106684790724e-07,5.45170266296513e-08,1.0560491367345914e-13,7.355733288750729e-56,1.4191670254233799e-39,1.0352095450211156e-31,1.1059877107172162e-13,7.65928349921297e-15,1.530782593658568e-35
2.2493766448562248e-10,0.05842168493353951,4.112959327121209e-07,0.938,0.0,0.0,0.039218878993821586,0.009999086309682418,0.04999862529289572,4.097651066913939e-37,5.539946701872848e-44,0.001999716511216911,2.0266601311730528e-54,1.2261415707432923e-52,1.1544778481261738e-06,4.0853189227121684e-29,1.9635906870178177e-06,1.822766782931665e-17,8.401920436322552e-08,2.2863202358304026e-07,5.48566523748775e-08,1.0711454871496787e-13,7.795903518468445e-56,1.4712267108156215e-39,1.0880710805626807e-31,1.1320581324757808e-13,7.795123745563317e-15,1.613316078891445e-35
2.2636608721073921e-10,0.05842168493353951,4.142491154021172e-07,0.938,0.0,0.0,0.03921886123076792,0.009999080508211373,0.049998623722430066,4.314055613952643e-37,5.754639568085809e-44,0.0019997148747538003,2.149134775726436e-54,1.2758003852489809e-52,1.1546775527311464e-06,4.181256910064876e-29,1.9764709304285667e-06,1.8578901849657608e-17,8.411266408444376e-08,2.2996336272713456e-07,5.5161774973123055e-08,1.0848224839751796e-13,8.211218248108695e-56,1.5192983584476255e-39,1.1376085534673939e-31,1.1558799531694374e-13,7.91843241557273e-15,1.69084041714292e-35
2.2779450993585595e-10,0.05842168493353951,4.172032343097876e-07,0.938,0.0,0.0,0.03921884347568992,0.009999074706748948,0.04999862215890731,4.540410641374842e-37,5.976027422315272e-44,0.0019997132402424364,2.278052150733423e-54,1.3270751793101195e-52,1.154870695180518e-06,4.2786760488017044e-29,1.989352983876407e-06,1.8934618049568166e-17,8.42039157923315e-08,2.3129326038621303e-07,5.5466387301351594e-08,1.098584973204161e-13,8.64539743265136e-56,1.5685425898022404e-39,1.1890671726194967e-31,1.1800439934539895e-13,8.042736692030636e-15,1.7715477268924627e-35
2.2922293266097268e-10,0.05842168493353951,4.201582585174891e-07,0.938,0.0,0.0,0.03921882572840098,0.009999068905295143,0.04999862060211203,4.777106412327674e-37,6.204266213003033e-44,0.0019997116076807143,2.4137003111265558e-54,1.3800051967085865e-52,1.1550574905104796e-06,4.377586068919442e-29,2.0022368142709425e-06,1.9294844581666493e-17,8.429299297219747e-08,2.3262171687696122e-07,5.5770491147295e-08,1.112432918743638e-13,9.099147971196083e-56,1.61897758608979e-39,1.2425086208528477e-31,1.2045528013659945e-13,8.168035148474958e-15,1.8555465877318126e-35
