Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45)
3.9431452154616055e-10,0.0357716342693874,2.139928556193525e-07,0.938,0.0,0.0,0.024008201968819212,0.009998747019354909,0.049995217597928944,4.860039058913821e-60,5.772558372538662e-67,0.001999574100188742,1.0103087966057955e-81,3.4643766571960183e-81,4.666021655826385e-06,2.0702976175819723e-41,2.5720585272983092e-06,1.4167087069288375e-25,5.028317814174538e-08,3.943846080058256e-07,3.1515203247637503e-08,5.74143073728326e-18,1.900395366695471e-80,3.0585932480803494e-57,8.617447605209728e-48
3.965365602198478e-10,0.0357716342693874,2.152039198949644e-07,0.938,0.0,0.0,0.024008170893462293,0.009998739961061199,0.0499952042490712,5.091821673701647e-60,5.989151633966028e-67,0.0019995717013412805,1.068767072001421e-81,3.594421177175889e-81,4.678744652280689e-06,2.120081240894369e-41,2.5867629123789927e-06,1.4404572052650578e-25,5.0321241788867875e-08,3.9678605015812243e-07,3.151260855634545e-08,5.790727637536469e-18,2.0035568874001265e-80,3.1505468176934174e-57,8.969234896916568e-48
3.9875859889353503e-10,0.0357716342693874,2.1641473868035433e-07,0.938,0.0,0.0,0.02400813991195108,0.009998732902790715,0.04999519099375471,5.333033503968449e-60,6.212228194365832e-67,0.001999569302506308,1.130140626662788e-81,3.7283599220798617e-81,4.691374441596627e-06,2.1706893599495494e-41,2.6014676505404635e-06,1.4644344172935134e-25,5.035857176732071e-08,3.991877907136353e-07,3.150970297417481e-08,5.8400161971366934e-18,2.111510340533176e-80,3.2445290302769343e-57,9.332872784127776e-48
4.0098063756722227e-10,0.0357716342693874,2.1762531061902455e-07,0.938,0.0,0.0,0.02400810902360386,0.009998725844543402,0.04999517783129654,5.58399105894412e-60,6.441930405808723e-67,0.0019995669036838113,1.1945507946102564e-81,3.8662784288441054e-81,4.703911706333232e-06,2.2221289093515754e-41,2.6161727288101017e-06,1.4886407429154275e-25,5.039518154576549e-08,4.015898183425677e-07,3.1506497841388406e-08,5.8892954917637635e-18,2.2244396341643603e-80,3.340566868048975e-57,9.708674093542232e-48
4.032026762409095e-10,0.0357716342693874,2.1883563438556893e-07,0.938,0.0,0.0,0.0240080782277439,0.00999871878631921,0.04999516476101877,5.845019172069646e-60,6.678402502614991e-67,0.001999564504873782,1.262122909165151e-81,4.0082633657929927e-81,4.71635712405115e-06,2.27440681095059e-41,2.6308781345282895e-06,1.5130765781608364e-25,5.043108427819753e-08,4.0399212199691646e-07,3.1503004216402163e-08,5.9385646312964935e-18,2.342534178539196e-80,3.43868737901953e-57,1.0096957561544923e-47
4.0542471491459675e-10,0.0357716342693874,2.2004570868493248e-07,0.938,0.0,0.0,0.024008047523699384,0.009998711728118077,0.04999515178224839,6.11645115764449e-60,6.921790605843274e-67,0.0019995621060762084,1.3329863972424757e-81,4.1544025353363546e-81,4.728711367349238e-06,2.3275299736474247e-41,2.6455838553414446e-06,1.5377423153120654e-25,5.0466292810926306e-08,4.0639469090424525e-07,3.1499232882011045e-08,5.987822758978891e-18,2.4659890002222225e-80,3.538917674454205e-57,1.0498047899872225e-47
4.07646753588284e-10,0.0357716342693874,2.2125553225168944e-07,0.938,0.0,0.0,0.02400801691080341,0.009998704669939957,0.04999513889431736,6.398628969207745e-60,7.172242727603274e-67,0.001999559707291082,1.4072748748316674e-81,4.304784876560801e-81,4.740975103900905e-06,2.3815052932031177e-41,2.660289879195178e-06,1.5626383430245386e-25,5.050081968943238e-08,4.087975145615686e-07,3.149519435150581e-08,6.037069050602559e-18,2.5950048573691592e-80,3.641284926354566e-57,1.0912275861494588e-47
4.0986879226197123e-10,0.0357716342693874,2.2246510384933998e-07,0.938,0.0,0.0,0.02400798638839392,0.00999869761178479,0.04999512609656249,6.691903359658729e-60,7.429908775193571e-67,0.0019995573085183913,1.4851262436600222e-81,4.459500467715819e-81,4.753148996490169e-06,2.4363396520531665e-41,2.6749961943275766e-06,1.5877650464449705e-25,5.053467716510141e-08,4.1120058272934214e-07,3.1490898874681646e-08,6.086302713705174e-18,2.729788356117911e-80,3.745816364955e-57,1.133997830671758e-47
4.1209083093565847e-10,0.0357716342693874,2.236744222696241e-07,0.938,0.0,0.0,0.024007955955813703,0.009998690553652526,0.04999511338832549,6.996634043122848e-60,7.694940555065737e-67,0.0019995549097581258,1.566682789033165e-81,4.618640528595325e-81,4.765233703047478e-06,2.4920399191263506e-41,2.689702789262609e-06,1.6131228073269863e-25,5.056787720183604e-08,4.1360388542556307e-07,3.1486356443738494e-08,6.1355229867848956e-18,2.8705520680881315e-80,3.852539276236095e-57,1.1781498269502185e-47
4.143128696093457e-10,0.0357716342693874,2.2488348633185333e-07,0.938,0.0,0.0,0.02400792561241033,0.00999868349554311,0.04999510076895285,7.313189858568489e-60,7.96749177661586e-67,0.0019995525110102757,1.652091278846586e-81,4.78229742281537e-81,4.777229876685241e-06,2.5486129496679757e-41,2.7044096528036587e-06,1.6387120041442106e-25,5.0600431482546026e-08,4.160074129199764e-07,3.148157679907434e-08,6.1847291385305636e-18,3.017514648978776e-80,3.9614809994544164e-57,1.2237185024005336e-47
4.1653490828303295e-10,0.0357716342693874,2.2609229488225924e-07,0.938,0.0,0.0,0.024007895357536127,0.009998676437456494,0.04999508823779588,7.641948935180754e-60,8.247718055804646e-67,0.001999550112274832,1.74150306376203e-81,4.950564659988689e-81,4.789138165733115e-06,2.6060655850673737e-41,2.719116774027172e-06,1.6645330122008774e-25,5.063235141551797e-08,4.1841115572838915e-07,3.1476569434971426e-08,6.233920467067545e-18,3.1709009582528376e-80,4.0726689246886245e-57,1.2707394151341783e-47
4.187569469567202e-10,0.0357716342693874,2.2730084679335864e-07,0.938,0.0,0.0,0.024007865190548157,0.009998669379392623,0.0499950757942106,7.983298859497905e-60,8.535776918607209e-67,0.001999547713551783,1.8350741785421837e-81,5.123536897796756e-81,4.8009592137730264e-06,2.6644046526895137e-41,2.733824142276432e-06,1.6905862037399903e-25,5.066364814066513e-08,4.2081510460708906e-07,3.147134360517661e-08,6.283096299219032e-18,3.3309421798981952e-80,4.1861304904018663e-57,1.3192487606568308e-47
4.2097898563040743e-10,0.0357716342693874,2.2850914096333492e-07,0.938,0.0,0.0,0.02400783511080815,0.009998662321351446,0.04999506343755778,8.337636844316375e-60,8.831827804293711e-67,0.00199954531484112,1.932965444536865e-81,5.301309943960055e-81,4.812693659673947e-06,2.723636965710593e-41,2.7485317471554527e-06,1.7168719480490988e-25,5.069433253565851e-08,4.2321925054737035e-07,3.1465908328376544e-08,6.332255989782649e-18,3.4978759442532775e-80,4.301893181020296e-57,1.369283378589141e-47
4.2320102430409467e-10,0.0357716342693874,2.2971717631543528e-07,0.938,0.0,0.0,0.0240078051176825,0.009998655263332913,0.049995051167202854,8.705369899370248e-60,9.136032068541938e-67,0.0019995429161428313,2.0353425733135932e-81,5.483980758107222e-81,4.8243421376263914e-06,2.783769322957452e-41,2.7632395785229936e-06,1.7433906115637127e-25,5.0724415221940276e-08,4.256235847701622e-07,3.146027239356831e-08,6.381398920822175e-18,3.671946450885978e-80,4.4199845245277133e-57,1.420880759409973e-47
4.254230629777819e-10,0.0357716342693874,2.3092495179738342e-07,0.938,0.0,0.0,0.024007775210542235,0.00999864820533697,0.049995038982515866,9.086915003791167e-60,9.448552986382962e-67,0.0019995405174569087,2.142376271425174e-81,5.67164745354373e-81,4.835905277176698e-06,2.844808508750699e-41,2.7779476264866804e-06,1.770142557968413e-25,5.075390657062067e-08,4.280280987207624e-07,3.145444436532689e-08,6.430524500974213e-18,3.85340459251403e-80,4.5404320900761487e-57,1.4740790512222238e-47
4.2764510165146915e-10,0.0357716342693874,2.3213246638080725e-07,0.938,0.0,0.0,0.02400774538876295,0.009998641147363572,0.049995026882871524,9.482699280354605e-60,9.769555754980978e-67,0.0019995381187833425,2.254242346306624e-81,5.864409298920803e-81,4.847383703261015e-06,2.906761292751408e-41,2.792655881397263e-06,1.7971281482956958e-25,5.078281670825945e-08,4.304327840636715e-07,3.144843258897006e-08,6.479632164769577e-18,4.042508079954834e-80,4.663263485612347e-57,1.5289170665413637e-47
4.298671403251564e-10,0.0357716342693874,2.3333971906068156e-07,0.938,0.0,0.0,0.024007715651724812,0.009998634089412662,0.0499950148676491,9.893160171518529e-60,1.0099207496248413e-66,0.001999535720122122,2.37112181329351e-81,6.062366719805195e-81,4.858778036239082e-06,2.9696344298112643e-41,2.807364333842968e-06,1.8243477410225951e-25,5.081115552253331e-08,4.3283763267752915e-07,3.144224519562195e-08,6.528721371969264e-18,4.239521568092441e-80,4.788506355520024e-57,1.5854342891068098e-47
4.3208917899884363e-10,0.0357716342693874,2.34546708854785e-07,0.938,0.0,0.0,0.024007685998812502,0.009998627031484198,0.049995002936232415,1.0318745617260484e-59,1.0437677259297435e-66,0.0019995333214732373,2.49320100375349e-81,6.265621300150527e-81,4.870088891927733e-06,3.0334346598260583e-41,2.8220729746439768e-06,1.8518016921651227e-25,5.0838932667790354e-08,4.3524263665015195e-07,3.1435890107176385e-08,6.577791606914743e-18,4.444716782849218e-80,4.9161883782778015e-57,1.6436708807162734e-47
4.3431121767253087e-10,0.0357716342693874,2.3575343480317082e-07,0.938,0.0,0.0,0.02400765642941518,0.009998619973578125,0.04999499108800974,1.0759914234719138e-59,1.078513602272892e-66,0.0019995309228366806,2.620671674322582e-81,6.4742757836708e-81,4.881316881634158e-06,3.098168707592383e-41,2.836781794847011e-06,1.8794903553705742e-25,5.086615757049316e-08,4.376477882736681e-07,3.142937504116098e-08,6.6268423778924055e-18,4.6583726491494874e-80,5.046337264132719e-57,1.703667688083215e-47
4.365332563462181e-10,0.0357716342693874,2.3695989596765194e-07,0.938,0.0,0.0,0.024007626942926484,0.009998612915694394,0.0499949793223739,1.1217135499646472e-59,1.1141756696759963e-66,0.0019995285242124395,2.753731117237417e-81,6.688434075116768e-81,4.892462612188944e-06,3.163843282667464e-41,2.851490785720036e-06,1.9074140820077348e-25,5.089283943455162e-08,4.400530800397518e-07,3.142270751550341e-08,6.675873216511956e-18,4.880775419862165e-80,5.178980752789206e-57,1.7654662497175436e-47
4.3875529501990535e-10,0.0357716342693874,2.3816609143129886e-07,0.938,0.0,0.0,0.024007597538744464,0.009998605857832958,0.049994967638722146,1.1690889929676656e-59,1.1507714125191029e-66,0.0019995261256005063,2.892582271754468e-81,6.908201241455797e-81,4.903526685978842e-06,3.230465079231983e-41,2.8661999387470616e-06,1.9355732212550321e-25,5.091898724654714e-08,4.4245850463495393e-07,3.141589485320074e-08,6.724883677098524e-18,5.1122188057092684e-80,5.31414661111343e-57,1.8291088028297057e-47
4.409773336935926e-10,0.0357716342693874,2.393720202979507e-07,0.938,0.0,0.0,0.02400756821627155,0.009998598799993768,0.04999495603645611,1.2181669269417887e-59,1.1883185087213767e-66,0.001999523727000872,3.037433836647004e-81,7.133683512955862e-81,4.914509700979315e-06,3.298040775955823e-41,2.88090924562306e-06,1.963968120186676e-25,5.0944609780849394e-08,4.448640549361282e-07,3.1408944186893375e-08,6.773873336098299e-18,5.353004106126875e-80,5.451862630852891e-57,1.894638290258305e-47
4.4319937236727983e-10,0.0357716342693874,2.405776816917396e-07,0.938,0.0,0.0,0.024007538974914554,0.00999859174217678,0.04999494451498183,1.268997667737335e-59,1.22683482990606e-66,0.0019995213284135253,3.1885003837702202e-81,7.364988284174303e-81,4.9254122507868424e-06,3.36657703586662e-41,2.8956186982489884e-06,1.992599123856823e-25,5.096971560462738e-08,4.472697240059511e-07,3.140186246334475e-08,6.8228417914974644e-18,5.603440341064978e-80,5.592156626371152e-57,1.9620983674214076e-47
4.4542141104096707e-10,0.0357716342693874,2.417830747566265e-07,0.938,0.0,0.0,0.024007509814084598,0.009998584684381943,0.04999493307370969,1.3216326914697583e-59,1.2663384415497107e-66,0.001999518929838458,3.3460024726848024e-81,7.602224114852013e-81,4.9362349246509875e-06,3.4360805062210314e-41,2.910328288726916e-06,2.0214665753818053e-25,5.099431308275605e-08,4.496755050885361e-07,3.139465644782791e-08,6.871788662254224e-18,5.863844383712375e-80,5.735056432397659e-57,2.0315334092916747e-47
4.476434497146543e-10,0.0357716342693874,2.429881986559504e-07,0.938,0.0,0.0,0.024007480733197122,0.009998577626609209,0.04999492171205438,1.3761246535794547e-59,1.306847603115821e-66,0.0019995165312756604,3.510166766328876e-81,7.845500730713624e-81,4.946978307506227e-06,3.506557818378643e-41,2.9250380093552508e-06,2.0505708160204689e-25,5.101841038261997e-08,4.5208139160513783e-07,3.1387332728420616e-08,6.920713587743694e-18,6.134541094132643e-80,5.880589901792445e-57,2.102988517395484e-47
4.4986548838834155e-10,0.0357716342693874,2.441930525719877e-07,0.938,0.0,0.0,0.024007451731671802,0.009998570568858531,0.04999491042943486,1.4325274080763742e-59,1.3483807681729346e-66,0.001999514132725124,3.6812261477280773e-81,8.094929024174382e-81,4.957642980003556e-06,3.578015587678423e-41,2.9397478526240773e-06,2.0799121852526508e-25,5.104201547881588e-08,4.5448737714994813e-07,3.1379897720210023e-08,6.969616227215457e-18,6.415863453796911e-80,6.028784903325706e-57,2.1765095268361958e-47
4.520875270620288e-10,0.0357716342693874,2.4539763570552483e-07,0.938,0.0,0.0,0.02400742280893258,0.009998563511129864,0.04999489922527439,1.4908960269700746e-59,1.3909565844973395e-66,0.001999511734186839,3.8594198377332156e-81,8.350621054954275e-81,4.968229518541849e-06,3.650460413317636e-41,2.9544578112105802e-06,2.1094910208558465e-25,5.106513615775523e-08,4.5689345548598e-07,3.13723576694083e-08,7.018496259263545e-18,6.708152700999062e-80,6.179669319472108e-57,2.252143013341718e-47
4.5430956573571603e-10,0.0357716342693874,2.4660194727544095e-07,0.938,0.0,0.0,0.024007393964407583,0.00999855645342316,0.04999488809900042,1.5512868198858617e-59,1.4345938941604705e-66,0.0019995093356607965,4.0449935137747967e-81,8.612690050600072e-81,4.978738495299006e-06,3.7238988782331527e-41,2.969167877974584e-06,2.1393076589800868e-25,5.10877800221685e-08,4.592996205410401e-07,3.1364718657380854e-08,7.067353381308639e-18,7.011758467138708e-80,6.333271044219708e-57,2.3299363003365334e-47
4.5653160440940327e-10,0.0357716342693874,2.4780598651830226e-07,0.938,0.0,0.0,0.024007365197529114,0.009998549395738379,0.04999487705004457,1.6137573538676588e-59,1.4793117336010954e-66,0.001999506937146986,4.238199429623374e-81,8.881250406915852e-81,4.989170478262852e-06,3.798337548985062e-41,2.983878045954168e-06,2.169362434221084e-25,5.110995449551287e-08,4.6170586640378676e-07,3.135698660458794e-08,7.116187309092287e-18,7.327038913857143e-80,6.489617980893424e-57,2.4099374660383655e-47
