Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2(13)
1.8873880707868814e-06,0.0505958752244895,6.690157848455206e-07,1.1286400379108291e-08,7.764572714033108e-07,3.6962894258723317e-38,6.798714944324941e-05,0.938,5.117725466450736e-19,0.01830750551772582,1.4332295355614463e-07,1.8139385138619955e-09,2.348768143244984e-06,0.0,0.0,0.015589290640086621,0.0008744695781329182,0.04994277705479845,2.671664844070002e-24,1.2995120359748705e-30,0.001996827606717976,2.256368590406328e-36,2.301278496245555e-05
1.8929609055043468e-06,0.0505958752244895,6.690556472656178e-07,1.1351979543372955e-08,7.760637892547553e-07,3.7482676402815747e-38,6.790579233520818e-05,0.938,5.154696049392007e-19,0.018315237628492312,1.4422653761581908e-07,1.8142591177815228e-09,2.3476188776840235e-06,0.0,0.0,0.015581640419829635,0.0008705995249023654,0.04994278544365462,2.7086257886790145e-24,1.3115798096499865e-30,0.0019968277469578927,2.2903285466326223e-36,2.3046908868623373e-05
1.8985337402218122e-06,0.0505958752244895,6.690952339966133e-07,1.1417932686316401e-08,7.756724538069218e-07,3.8009179735596586e-38,6.782487283483484e-05,0.938,5.19188814775537e-19,0.018322928034082944,1.4513525063146295e-07,1.8145794259459172e-09,2.346475811607724e-06,0.0,0.0,0.0155740314535677,0.0008667503619646852,0.04994279375495449,2.7460540983485838e-24,1.3237346702824874e-30,0.001996827875771079,2.324749816360284e-36,2.3080897310272004e-05
1.9041065749392776e-06,0.0505958752244895,6.691345413181739e-07,1.1484261825413001e-08,7.752832495467087e-07,3.854248667924579e-38,6.774438886593897e-05,0.938,5.229303041248146e-19,0.018330577029728734,1.460491221736301e-07,1.8148994116666656e-09,2.3453389005278217e-06,0.0,0.0,0.015566463448178153,0.0008629219416050508,0.04994280198891223,2.7839553874624098e-24,1.335977139424986e-30,0.001996827993174156,2.3596382316530355e-36,2.3114751171352147e-05
1.909679409656743e-06,0.0505958752244895,6.691735656292261e-07,1.1550968989920977e-08,7.74896161110877e-07,3.9082680635323876e-38,6.766433835235485e-05,0.938,5.266942016711472e-19,0.01833818490788294,1.4696818197225067e-07,1.8152190488673027e-09,2.3442081003813877e-06,0.0,0.0,0.015558936113315207,0.0008591141174942171,0.04994281014574849,2.8223353362269427e-24,1.3483077416426411e-30,0.0019968280991830285,2.3949996952325977e-36,2.3148471329514866e-05
1.9152522443742087e-06,0.0505958752244895,6.692123034455368e-07,1.1618056220938759e-08,7.745111732842031e-07,3.962984599616035e-38,6.75847192181796e-05,0.938,5.304806368159887e-19,0.01834575195825438,1.4789245991757688e-07,1.8155383120739646e-09,2.3430833675256466e-06,0.0,0.0,0.01555144916137637,0.0008553267446719262,0.049942818225690196,2.861199691430396e-24,1.3607270045299512e-30,0.0019968281938128915,2.4308401813115686e-36,2.3182058656147755e-05
1.9208250790916743e-06,0.0505958752244895,6.692507513973387e-07,1.1685525571461675e-08,7.741282709976592e-07,4.0184068156372756e-38,6.750552938800629e-05,0.938,5.342897396821171e-19,0.018353278467840323,1.4882198606113226e-07,1.8158571764060326e-09,2.3419646587328755e-06,0.0,0.0,0.015544002307469376,0.0008515596795305586,0.049942826228970415,2.9005542672104092e-24,1.3732354587276363e-30,0.0019968282770782384,2.467165736435915e-36,2.3215514016411338e-05
1.92639791380914e-06,0.0505958752244895,6.692889062269891e-07,1.1753379106438955e-08,7.737474393266185e-07,4.074543352451795e-38,6.74267667871513e-05,0.938,5.381216411176377e-19,0.018360764720958822,1.4975679061666626e-07,1.8161756175669563e-09,2.3408519311853754e-06,0.0,0.0,0.015536595269379576,0.0008478127797990195,0.04994283415582821,2.940404945830463e-24,1.3858336379396188e-30,0.0019968283489928663,2.5039824803372158e-36,2.3248838269275346e-05
1.9319707485266055e-06,0.0505958752244895,6.693267647866692e-07,1.1821618902831026e-08,7.733686634890906e-07,4.131402953487639e-38,6.734842934187658e-05,0.938,5.419764727000101e-19,0.018368210999280692,1.5069690396111225e-07,1.8164936118352122e-09,2.3397451424705106e-06,0.0,0.0,0.015529227767537837,0.0008440859045268608,0.0499428420065085,2.9807576784651485e-24,1.3985220789500956e-30,0.0019968284095698806,2.5412966067947468e-36,2.3282032267555186e-05
1.937543583244071e-06,0.0505958752244895,6.693643240361201e-07,1.1890247049667147e-08,7.72991928843981e-07,4.1889944659371735e-38,6.727051497960651e-05,0.938,5.458543667400974e-19,0.018375617581860862,1.5164235663555081e-07,1.8168111360553067e-09,2.3386442505758318e-06,0.0,0.0,0.015521899524988884,0.0008403789140686341,0.049942849781261914,3.021618485994374e-24,1.4113013216407043e-30,0.001996828458821704,2.5791143845075283e-36,2.3315096857948412e-05
