Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),N2X2(45),H2(20),H2X(38)
2.018536008156016e-05,0.04836553141748826,7.882204229067663e-05,0.938,0.0,0.0,0.014142655227443247,0.0009308462660376614,0.04989574000295504,2.3531154135308497e-09,-7.161261020823397e-27,0.001992769081952553,-2.5940018588993684e-29,-2.786813659537034e-41,8.413955601683704e-07,2.8672755279149728e-19,0.018241724884322068,2.6296120492544617e-07,1.1850873998236373e-09,3.821288708237669e-06,7.576588165568038e-07,3.379330613118215e-08,-9.363586828059333e-31,2.43417134612646e-28,1.175254890380798e-06,6.827776137017415e-05,6.911496477869769e-08
2.023952734062566e-05,0.04836553141748826,7.873654977522673e-05,0.938,0.0,0.0,0.014135814421501572,0.0009273190622405812,0.04989588021924762,2.3712864450261933e-09,-7.161226189259791e-27,0.0019927568282531267,3.522906970345389e-29,-2.5447569061727176e-41,8.409909377111755e-07,2.877065348070036e-19,0.018248639480127553,2.63630497880526e-07,1.1852059647648894e-09,3.819455267881067e-06,7.576698904666989e-07,3.386695255809236e-08,1.2716254499185636e-30,-2.684018096830206e-28,1.1819032825948923e-06,6.820188891287471e-05,6.900476295481385e-08
2.0293694599691157e-05,0.04836553141748826,7.865147206618583e-05,0.938,0.0,0.0,0.01412900637850387,0.0009238086085962058,0.0498960201575292,2.389539249036013e-09,-7.161299124222898e-27,0.0019927445302033685,-4.8059410855225115e-29,-2.739669450752718e-41,8.405882574918438e-07,2.8868572078026873e-19,0.018255520851696377,2.642996923628638e-07,1.1853245316020705e-09,3.817630602582398e-06,7.576808415272187e-07,3.3940589276280744e-08,-1.733739616266417e-30,-1.0228021101573521e-28,1.1885694961885995e-06,6.81261382545029e-05,6.889491837307753e-08
2.0347861858756654e-05,0.04836553141748826,7.856680655682802e-05,0.938,0.0,0.0,0.014122230887916969,0.0009203147982679352,0.04989615981826708,2.4078739138246918e-09,-7.161221790116808e-27,0.0019927321878682068,6.580674475173067e-29,-2.34786697296978e-41,8.401875070158123e-07,2.8966510829076606e-19,0.01826236921224694,2.649687888077781e-07,1.1854430967517754e-09,3.8158146541413325e-06,7.576916695047242e-07,3.4014216304243023e-08,2.3727347403094602e-30,4.610216757473137e-28,1.1952535275999383e-06,6.805051023462514e-05,6.878543014582946e-08
2.0402029117822152e-05,0.04836553141748826,7.848255066106357e-05,0.938,0.0,0.0,0.01411548774102276,0.0009168375253335549,0.04989629920193605,2.4262905271921515e-09,-7.16112121467164e-27,0.001992719801312036,-9.040264542700338e-29,-1.8785657468768278e-41,8.397886738964117e-07,2.9064469480038557e-19,0.018269184773161296,2.656377876463542e-07,1.1855616566857275e-09,3.8140073648724146e-06,7.577023741823678e-07,3.408783366039794e-08,-3.259245206537271e-30,-2.4676074545838623e-28,1.201955373270111e-06,6.797500567495095e-05,6.86762973808401e-08
2.045619637688765e-05,0.04836553141748826,7.839870181324248e-05,0.938,0.0,0.0,0.014108776730898187,0.0009133766847752269,0.04989643830901812,2.444789176475119e-09,-7.161257264320798e-27,0.001992707370598723,1.246244782131808e-28,-2.355508586392958e-41,8.393917458536724e-07,2.916244777893517e-19,0.01827596774400537,2.6630668930547334e-07,1.1856802079405847e-09,3.812208677600525e-06,7.577129553603153e-07,3.416144136316048e-08,4.493560299277476e-30,-4.509663035207702e-28,1.2086750296434887e-06,6.789962537959831e-05,6.856751918147579e-08
2.0510363635953148e-05,0.04836553141748826,7.831525746796432e-05,0.938,0.0,0.0,0.014102097652395552,0.0009099321724696136,0.04989657714000246,2.463369948548394e-09,-7.161217706948442e-27,0.0019926948957916138,-1.724686062211545e-28,-2.1401485304431055e-41,8.389967107131548e-07,2.9260445496771446e-19,0.01828271833254885,2.669754942079045e-07,1.185798747118915e-09,3.810418535655823e-06,7.57723412851923e-07,3.423503943090708e-08,-6.218381156814309e-30,7.557338643560719e-28,1.2154124931676009e-06,6.782437013535536e-05,6.845909464686113e-08
2.0564530895018646e-05,0.04836553141748826,7.823221509988282e-05,0.938,0.0,0.0,0.014095450302123056,0.0009065038851781356,0.04989671569538517,2.4820329298261146e-09,-7.160994336338783e-27,0.0019926823769535404,2.3961619359604496e-28,-1.2105717050921848e-41,8.386035564047889e-07,2.935846238358942e-19,0.01828943674478488,2.676442027723686e-07,1.1859172708700881e-09,3.8086368828655254e-06,7.577337464855397e-07,3.430862788189536e-08,8.636878701989915e-30,-2.2855297408672202e-29,1.2221677602931357e-06,6.774924071193783e-05,6.835102287203797e-08
2.0613281428177594e-05,0.04836553141748826,7.815781858792385e-05,0.938,0.0,0.0,0.014089494647811063,0.0009034322143815743,0.04989684016000574,2.498899972896935e-09,-7.160919895994741e-27,0.0019926710724043214,2.1275032969691447e-29,-9.103844484700702e-42,8.382513157460405e-07,2.9446693761380673e-19,0.01829545597389144,2.6824595845422664e-07,1.1860239263352538e-09,3.807040607551645e-06,7.577429407299999e-07,3.43748492805506e-08,6.278543595878872e-32,-2.0797461308116686e-28,1.2282627198543667e-06,6.768173243028093e-05,6.825405913320443e-08
2.066203196133654e-05,0.04836553141748826,7.808374383493923e-05,0.938,0.0,0.0,0.014083564384186563,0.0009003735288978651,0.049896964402167475,2.5158337373962692e-09,-7.160656332092279e-27,0.0019926597322855906,-7.891672779199031e-29,7.913790208128307e-43,8.379005802138041e-07,2.9534940297403456e-19,0.018301449453326016,2.6884763673779034e-07,1.1861305642881946e-09,3.8054511230943714e-06,7.577520344213592e-07,3.444106291776627e-08,-3.772298658152147e-30,1.6632079813974535e-27,1.2343720948773366e-06,6.761432721093057e-05,6.815737972845737e-08
