Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
1.7320349296619556e-05,0.04069755588184878,0.0001861504060075725,0.938,0.0,0.0,0.010609804870480365,0.001801733870928693,0.049907333818092724,8.604941223773876e-23,-4.389971553051108e-29,0.0019618898552633637,-4.061587680602259e-40,-6.22406281302155e-45,1.3956328904322165e-06,2.7910304266076945e-21,0.016487802600000687,5.123416937316077e-07,2.071588762078595e-10,3.5875025712089194e-05,1.3730646100432857e-06,3.4971272076117773e-07,-5.814837087942021e-41,-5.981392125358745e-35
1.7338219305807908e-05,0.04069755588184878,0.00018598398816150688,0.938,0.0,0.0,0.010606776252026112,0.001800088940490756,0.04990742531591573,8.725137572706372e-23,-4.389971089774792e-29,0.0019618931820158995,1.3804724413404275e-40,-6.115121860404597e-45,1.3952370542729436e-06,2.812069445438573e-21,0.01649100135882864,5.159443812969366e-07,2.0721993549504796e-10,3.586554447281315e-05,1.3731900823721866e-06,3.521390476069572e-07,1.544511790323024e-41,2.0077031666733464e-35
1.735608931499626e-05,0.04069755588184878,0.0001858178609067448,0.938,0.0,0.0,0.01060375207468167,0.0017984464489591925,0.049907516723054775,8.84703037207251e-23,-4.389970626410334e-29,0.0019618964533407806,-3.8327391429112814e-41,-6.008117961294972e-45,1.394841798322651e-06,2.8332677436511282e-21,0.016494195329947545,5.195728795166315e-07,2.072810722414962e-10,3.5856076927700975e-05,1.3733144484945122e-06,3.5458240349664525e-07,-3.366655510038542e-42,5.905640606039804e-36
1.7372172323265777e-05,0.04069755588184878,0.0001856685944716115,0.938,0.0,0.0,0.010601034103663663,0.00179697028723743,0.04990759891245347,8.958204326358543e-23,-4.3899702093092973e-29,0.0019618993499324775,-8.87146689926123e-41,-5.913441694106909e-45,1.394486562939083e-06,2.852483393998684e-21,0.016497065819172672,5.228607504095937e-07,2.0733616202901985e-10,3.584756780898519e-05,1.3734254268597962e-06,3.5679608125673134e-07,-1.2808869062314034e-41,-1.5001082732812131e-35
1.7388255331535293e-05,0.04069755588184878,0.00018551956274041501,0.938,0.0,0.0,0.01059831971404,0.001795496092461589,0.04990768102934775,9.07078983943675e-23,-4.389969792144319e-29,0.001961902201235031,1.155036949423985e-40,-5.820281028072741e-45,1.3941317954673739e-06,2.8718299256725447e-21,0.01649993244654241,5.261698163754657e-07,2.07391315475422e-10,3.5839069714450664e-05,1.3735354992412204e-06,3.5902373489061723e-07,1.505346535566674e-41,1.5819601727980564e-35
1.740433833980481e-05,0.04069755588184878,0.00018537076539049027,0.938,0.0,0.0,0.010595608898318174,0.0017940238605911939,0.049907763074191716,9.184805002164541e-23,-4.389969374915893e-29,0.0019619050070600855,-1.6501172063059157e-41,-5.728611304934402e-45,1.3937774949384693e-06,2.8913082314611202e-21,0.01650279521968453,5.29500215431882e-07,2.0744653302351907e-10,3.5830582611995805e-05,1.3736446608984503e-06,3.612654515776622e-07,-6.137610439426122e-43,7.380694276485526e-36
1.7420421348074326e-05,0.04069755588184878,0.00018522220209731262,0.938,0.0,0.0,0.010592901649031906,0.0017925535875973132,0.04990784504744233,9.300268138921743e-23,-4.3899689576229775e-29,0.001961907767217793,-7.073685060518214e-41,-5.638408268793743e-45,1.3934236603868202e-06,2.910919210188006e-21,0.016505654146200942,5.328520864904166e-07,2.075018151235564e-10,3.582210646961594e-05,1.373752907075526e-06,3.635213190146161e-07,-9.919170055290396e-42,-8.851290159458816e-36
1.743489605551689e-05,0.04069755588184878,0.00018508869498225642,0.938,0.0,0.0,0.010590468167826881,0.0017912320134216015,0.049907918762535426,9.405438315467656e-23,-4.3899685820034494e-29,0.00196191021215603,1.0579627602890442e-40,-5.558459829900468e-45,1.3931056069056788e-06,2.9286832741819326e-21,0.016508223897462933,5.358872445401359e-07,2.0755162458371732e-10,3.581448728596392e-05,1.3738495419558135e-06,3.655637714994436e-07,1.3899986811376238e-41,1.4131774482223976e-35
1.7449370762959456e-05,0.04069755588184878,0.00018495537694960694,0.938,0.0,0.0,0.010588037564002032,0.0017899120197608386,0.04990799242034728,9.511810079012967e-23,-4.3899682063307404e-29,0.0019619126198082075,4.60703953086776e-42,-5.479662965861981e-45,1.3927879293878797e-06,2.9465562000539074e-21,0.01651079054460027,5.389400106960186e-07,2.0760148703817818e-10,3.580687693093074e-05,1.3739454279427045e-06,3.676178222125695e-07,2.08985456209106e-42,9.517526528531362e-36
1.746384547040202e-05,0.04069755588184878,0.0001848222477589373,0.938,0.0,0.0,0.010585609832168611,0.0017885936037017511,0.049908066021216786,9.619397285362455e-23,-4.3899678306059557e-29,0.0019619149900327944,-9.116140869126932e-41,-5.4020008217287756e-45,1.392470627136775e-06,2.9645386557421607e-21,0.016513354093101274,5.420104881043735e-07,2.0765140282851516e-10,3.579927538138399e-05,1.3740405615363217e-06,3.6968353617050935e-07,-1.225857068833463e-41,-9.225433819017821e-36
1.7478320177844586e-05,0.04069755588184878,0.00018468930716861013,0.938,0.0,0.0,0.010583184966954852,0.001787276762338535,0.04990813956548466,9.728213951222287e-23,-4.3899674548283544e-29,0.0019619173226872615,4.228938160339158e-40,-5.3254567867351216e-45,1.3921536994579872e-06,2.9826313132501316e-21,0.016515914548437535,5.450987805121554e-07,2.0770137230219232e-10,3.5791682614253815e-05,1.3741349392259296e-06,3.7176097873591365e-07,5.344244782123895e-41,4.048390281427763e-35
1.749279488528715e-05,0.04069755588184878,0.0001845565549357797,0.938,0.0,0.0,0.010580762963005936,0.0017859614927728264,0.04990821305349351,9.83827425606502e-23,-4.389967078997263e-29,0.001961919617628078,1.2745149584676306e-40,-5.2500144974910516e-45,1.3918371456594055e-06,3.0008348486611423e-21,0.01651847191606388,5.48204992270352e-07,2.0775139580770337e-10,3.578409860653226e-05,1.3742285574901886e-06,3.738502156191552e-07,1.5178232410815864e-41,2.431671201746796e-35
1.7505822121985458e-05,0.04069755588184878,0.00018443723877020792,0.938,0.0,0.0,0.010578585601421199,0.0017847790916610377,0.04990827914488466,9.93840369375388e-23,-4.389966740705759e-29,0.001961921650710199,-1.063607686159061e-40,-5.18304511175257e-45,1.391552566338047e-06,3.0173133932260382e-21,0.01652077091143056,5.510159906328727e-07,2.0779646345305895e-10,3.577728046991089e-05,1.3743121617004269e-06,3.757406675469161e-07,-1.0707641357968746e-41,-9.224493335628059e-36
1.7517546635013935e-05,0.04069755588184878,0.00018432998435145397,0.938,0.0,0.0,0.010576627950660146,0.0017837160154688698,0.049908338588621606,1.0029400137698086e-22,-4.3899664362087686e-29,0.0019619234541777748,9.399756894989336e-42,-5.12351494558098e-45,1.3912967029873865e-06,3.0322217549811867e-21,0.016522837875900694,5.535584354681849e-07,2.078370622163764e-10,3.577115018359695e-05,1.374386874969419e-06,3.77450328180746e-07,5.4260293300378e-43,3.321720301913832e-36
1.7529271148042412e-05,0.04069755588184878,0.0001842228530783153,0.938,0.0,0.0,0.010574672167709204,0.0017826539654039455,0.04990839799606224,1.0121238288275515e-22,-4.3899661316775275e-29,0.0019619252326429056,1.0750699593550099e-41,-5.0646793391995854e-45,1.3910410837163245e-06,3.04720407933823e-21,0.016524902824168543,5.561128247269654e-07,2.0787769706730253e-10,3.576502560362449e-05,1.3744610836828008e-06,3.7916784505009675e-07,1.2607765251921191e-42,7.352689647120653e-36
1.754099566107089e-05,0.04069755588184878,0.0001841158448194218,0.938,0.0,0.0,0.010572718249754923,0.001781592939940143,0.04990845736739222,1.0213926002210758e-22,-4.389965827111655e-29,0.001961926986027365,-6.691511642505919e-42,-5.0065300549275616e-45,1.3907857081613667e-06,3.0622607335453004e-21,0.016526965759101068,5.586792150411689e-07,2.0791836820051065e-10,3.575890671788435e-05,1.3745347859481511e-06,3.8089325375124343e-07,-3.5932472561946394e-44,1.869596814678915e-36
1.7552720174099366e-05,0.04069755588184878,0.000184008959442888,0.938,0.0,0.0,0.010570766193991043,0.001780532937554495,0.04990851670279797,1.0307471210063557e-22,-4.3899655225116105e-29,0.0019619287142524852,5.257032658316574e-42,-4.949058957489119e-45,1.3905305759599786e-06,3.077392086657257e-21,0.016529026683558098,5.612576633094637e-07,2.0795907581240615e-10,3.575279351429346e-05,1.3746079798683347e-06,3.826265900332637e-07,8.511679800622058e-43,3.439692140209404e-36
1.7564444687127843e-05,0.04069755588184878,0.000183902196816313,0.938,0.0,0.0,0.01056881599761847,0.00177947395672718,0.04990857600246679,1.0401881916926755e-22,-4.389965217877676e-29,0.001961930417239156,3.537709782021445e-42,-4.892258009031922e-45,1.3902756867505876e-06,3.0925985095420604e-21,0.016531085600392376,5.63848226698447e-07,2.0799982010123763e-10,3.574668598079487e-05,1.3746806635413832e-06,3.8436788979860046e-07,8.378993662664593e-43,4.693047711164194e-36
1.757616920015632e-05,0.04069755588184878,0.00018379555680678156,0.938,0.0,0.0,0.010566867657845274,0.0017784159959415154,0.04990863526658672,1.0497166203130517e-22,-4.389964913209884e-29,0.001961932094907824,2.6828216254935885e-43,-4.836119267670569e-45,1.390021040172576e-06,3.10788037488959e-21,0.01653314251244957,5.664509626438687e-07,2.080406012672065e-10,3.5740584105357764e-05,1.3747528350604043e-06,3.861171891036264e-07,3.1763907771944102e-43,3.491287917339321e-36
1.7599618226213273e-05,0.04069755588184878,0.0001835826441046206,0.938,0.0,0.0,0.010562976536964981,0.0017763031284440416,0.049908753688936346,1.0690388215344333e-22,-4.389964303773286e-29,0.0019619353739706996,-4.6305323411506674e-42,-4.7257971176780407e-45,1.3895124734730048e-06,3.13867193289685e-21,0.01653725033357993,5.716931833001645e-07,2.0812227504076672e-10,3.572839728067417e-05,1.3748956339842922e-06,3.896399313312739e-07,9.683585375691805e-44,6.13483563209267e-37
1.7620232309985184e-05,0.04069755588184878,0.0001833958759554246,0.938,0.0,0.0,0.010559561952263508,0.0017744490580665446,0.04990885767863303,1.0863215662322406e-22,-4.389963767904398e-29,0.001961938172178338,3.3202386963812827e-43,-4.6309257893941356e-45,1.389066189668932e-06,3.1659937314265855e-21,0.016540854930850106,5.763424050602619e-07,2.0819419841618948e-10,3.571770239754606e-05,1.3750194582258821e-06,3.927635608201972e-07,5.481261750307912e-43,3.88428370615699e-36
1.7640846393757094e-05,0.04069755588184878,0.00018320948487289868,0.938,0.0,0.0,0.010556153066070778,0.001772598118749053,0.04990896156123954,1.1038865738667386e-22,-4.389963231930481e-29,0.0019619408909315396,9.107311639410374e-42,-4.5379887492666643e-45,1.38862065064312e-06,3.193554304674842e-21,0.01654445337234556,5.810301120932215e-07,2.0826623881563613e-10,3.570702482922103e-05,1.3751416709949545e-06,3.959124561404693e-07,7.883334052901863e-44,2.9422342572260475e-36
1.7661460477529004e-05,0.04069755588184878,0.00018302347011756216,0.938,0.0,0.0,0.01055274986344899,0.0017707503023518725,0.049909065337805425,1.1217384958360755e-22,-4.389962695851618e-29,0.001961943529782901,1.0961504756628546e-42,-4.446945924087345e-45,1.3881758544672657e-06,3.2213557400888357e-21,0.01654804567329806,5.857566256951036e-07,2.0833839739109304e-10,3.569636451116773e-05,1.3752622617608575e-06,3.9908681846498245e-07,3.8268613102596475e-43,7.582222917784539e-37
1.7682074561300914e-05,0.04069755588184878,0.00018283783094506927,0.938,0.0,0.0,0.010549352329527497,0.0017689056007646818,0.04990916900938808,1.1398820606940199e-22,-4.389962159668502e-29,0.0019619460882806476,-1.4858868144111754e-42,-4.3577580868450595e-45,1.387731799222029e-06,3.2494001431614354e-21,0.01655163184887276,5.905222698233264e-07,2.0841067531322852e-10,3.56857213790971e-05,1.375381219943899e-06,4.02286850478393e-07,1.4709926696556132e-42,6.139453389585692e-36
1.7702688645072825e-05,0.04069755588184878,0.00018265256660622082,0.938,0.0,0.0,0.010545960449502513,0.0017670640059063915,0.04990927257705287,1.1583220754334544e-22,-4.3899616233813784e-29,0.0019619485659686095,1.1119570939551968e-41,-4.270386834787293e-45,1.3872884829970209e-06,3.2776896375822455e-21,0.016555211914168387,5.95327371117961e-07,2.0848307377147912e-10,3.5675095368961e-05,1.3754985349146835e-06,4.055127563867447e-07,7.0948762182048e-43,6.109172262196552e-36
1.7723302728844735e-05,0.04069755588184878,0.0001824676763469751,0.938,0.0,0.0,0.010542574208636829,0.0017652255097250055,0.049909376041873114,1.177063426791833e-22,-4.389961086990491e-29,0.0019619509623861955,-1.242831932778324e-43,-4.184794573340111e-45,1.3868459038908063e-06,3.3062263653914966e-21,0.016558785884217487,6.001722589231844e-07,2.085555939738838e-10,3.566448641695064e-05,1.3756141959935772e-06,4.0876474192712373e-07,-3.4778529288281833e-43,-9.504023388327526e-38
1.7743916812616645e-05,0.04069755588184878,0.00018228315940845902,0.938,0.0,0.0,0.010539193592259532,0.001763390104197481,0.04990947940493019,1.1961110825778432e-22,-4.389960550496009e-29,0.001961953277068359,-7.853985266886533e-42,-4.100944498619154e-45,1.386404060010799e-06,3.3350124871319873e-21,0.0165623537739867,6.050572653088859e-07,2.0862823714747404e-10,3.5653894459495036e-05,1.375728192450172e-06,4.1204301437734063e-07,1.5130998495649167e-42,5.3149835721138495e-36
1.7764530896388555e-05,0.04069755588184878,0.00018209901502697906,0.938,0.0,0.0,0.010535818585765726,0.0017615577813295908,0.04990958266731347,1.21547009302056e-22,-4.3899600138978716e-29,0.00196195550954557,1.7672399162088575e-41,-4.01880057988575e-45,1.3859629494732366e-06,3.3640501820028197e-21,0.016565915598376967,6.099827250924338e-07,2.0870100453850295e-10,3.5643319433259504e-05,1.3758405135026845e-06,4.1534778256564143e-07,1.9706490941594267e-42,8.719069060020657e-36
1.7785144980160466e-05,0.04069755588184878,0.00018191524243403148,0.938,0.0,0.0,0.010532449174616257,0.0017597285331557872,0.04990968583012045,1.2351455921409526e-22,-4.389959477196257e-29,0.0019619576593437873,2.9451544739201085e-42,-3.9383275447597533e-45,1.3855225704032273e-06,3.3933416480176475e-21,0.01656947137222378,6.149489758605984e-07,2.087738974120439e-10,3.563276127514421e-05,1.375951148317328e-06,4.18679256880447e-07,-1.54133352862369e-42,-1.2000399608654442e-36
1.7805759063932376e-05,0.04069755588184878,0.00018173184085631315,0.938,0.0,0.0,0.010529085344337429,0.0017579023517390636,0.0499097888944567,1.2551427991462735e-22,-4.3899589403916373e-29,0.001961959725984428,-2.0837502758037538e-41,-3.859490863156024e-45,1.3850829209346229e-06,3.422889102160579e-21,0.01657302111029741,6.199563579916357e-07,2.0884691705241138e-10,3.562221992228268e-05,1.3760600860077208e-06,4.220376492801188e-07,4.48799582443412e-43,2.9044707456282388e-36
